time,x,y,z
3.557,-0.13,0.18,-0.05
3.578,-0.13,0.16,-0.05
3.597,-0.12,0.15,-0.03
3.618,-0.13,0.16,-0.07
3.637,-0.12,0.19,-0.04
3.657,-0.10,0.15,-0.02
3.678,-0.12,0.16,-0.04
3.699,-0.14,0.16,-0.04
3.719,-0.10,0.17,-0.05
3.739,-0.12,0.16,-0.04
3.758,-0.12,0.16,-0.04
3.778,-0.11,0.17,-0.03
3.798,-0.13,0.15,-0.06
3.819,-0.13,0.15,-0.05
3.839,-0.11,0.15,-0.03
3.858,-0.14,0.15,-0.10
3.877,-0.11,0.15,-0.06
3.898,-0.12,0.16,-0.02
3.919,-0.12,0.17,-0.05
3.940,-0.10,0.15,-0.03
3.959,-0.14,0.13,-0.05
3.978,-0.11,0.18,-0.04
3.999,-0.11,0.16,-0.07
4.019,-0.12,0.14,-0.02
4.040,-0.09,0.14,-0.04
4.058,-0.11,0.14,-0.06
4.078,-0.10,0.15,-0.03
4.097,-0.11,0.16,-0.06
4.119,-0.09,0.16,-0.04
4.139,-0.11,0.14,-0.03
4.158,-0.11,0.13,-0.03
4.178,-0.09,0.16,-0.05
4.199,-0.10,0.16,-0.03
4.218,-0.09,0.15,-0.05
4.241,-0.10,0.14,-0.06
4.259,-0.09,0.17,-0.05
4.279,-0.11,0.16,-0.07
4.300,-0.10,0.13,-0.02
4.320,-0.10,0.14,-0.04
4.340,-0.08,0.15,-0.01
4.359,-0.10,0.16,-0.03
4.379,-0.12,0.15,-0.04
4.400,-0.08,0.13,-0.03
4.420,-0.09,0.14,-0.04
4.440,-0.09,0.14,-0.03
4.459,-0.11,0.16,-0.05
4.479,-0.12,0.15,-0.06
4.500,-0.09,0.15,-0.03
4.520,-0.09,0.15,-0.06
4.541,-0.08,0.13,-0.04
4.560,-0.09,0.13,-0.06
4.579,-0.11,0.14,-0.07
4.600,-0.10,0.15,-0.04
4.620,-0.09,0.15,-0.04
4.640,-0.07,0.14,-0.04
4.658,-0.09,0.16,-0.06
4.679,-0.09,0.15,-0.05
4.700,-0.08,0.14,-0.04
4.720,-0.07,0.15,-0.03
4.740,-0.07,0.15,-0.06
4.759,-0.10,0.14,-0.05
4.779,-0.10,0.16,-0.02
4.799,-0.08,0.14,-0.05
4.820,-0.09,0.13,-0.05
4.841,-0.08,0.13,-0.04
4.860,-0.08,0.14,-0.07
4.879,-0.09,0.15,-0.05
4.900,-0.11,0.13,-0.03
4.920,-0.09,0.14,-0.04
4.940,-0.08,0.15,-0.05
4.960,-0.09,0.15,-0.05
